Trends in Number of COVID-19 Vaccinations in the US
Date generated: Sun May 23 2021 12:46:33 GMT-0400 (Eastern Daylight Time)
Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People with at least One Dose Cumulative,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Admin,2021-02-27,US,1922746,1121798,776567,83725621,54271609,28191188,1032529,1998108,935824,null,null,776849,54271609,28194525,935956
Report,2021-02-27,US,null,null,null,null,null,null,null,null,null,2352116,1645240,null,null,null,null
Admin,2021-02-27,LTC,42525,13164,28848,7223845,4666198,2503570,26809,79886,52259,null,null,28848,4666198,2503571,52259
Admin,2021-02-28,US,808565,522122,273005,84534186,54793731,28464193,1071555,2032508,930880,null,null,273068,54793731,28467593,931015
Report,2021-02-28,US,null,null,null,null,null,null,null,null,null,2429823,1735053,null,null,null,null
Admin,2021-02-28,LTC,21699,6250,15142,7245544,4672448,2518712,25870,76933,50272,null,null,15142,4672448,2518713,50272
Admin,2021-03-01,US,1846036,1096610,718108,86380222,55890341,29182301,1140871,2096379,924960,null,null,719257,55890341,29186850,925247
Report,2021-03-01,US,null,null,null,null,null,null,null,null,null,1663984,1817502,null,null,null,null
Admin,2021-03-01,LTC,37792,12802,24594,7283336,4685250,2543306,23525,68835,44590,null,null,24594,4685250,2543307,44589
Admin,2021-03-02,US,2347208,1420348,902052,88727430,57310689,30084353,1220946,2165007,914834,null,null,902834,57310689,30089684,915220
Report,2021-03-02,US,null,null,null,null,null,null,null,null,null,1731614,1942788,null,null,null,null
Admin,2021-03-02,LTC,40879,14690,25819,7324215,4699940,2569125,21351,61318,39338,null,null,25822,4699940,2569129,39338
Admin,2021-03-03,US,2790822,1700766,1057888,91518252,59011455,31142241,1288870,2217242,899338,null,null,1068137,59011455,31157821,901170
Report,2021-03-03,US,null,null,null,null,null,null,null,null,null,1908873,2010790,null,null,null,null
Admin,2021-03-03,LTC,41381,12883,28187,7365596,4712823,2597312,17752,52163,33850,null,null,28189,4712823,2597318,33850
Admin,2021-03-04,US,3073811,1913096,1127419,94592063,60924551,32269660,1346074,2253988,880016,null,null,1175340,60924551,32333161,888666
Report,2021-03-04,US,null,null,null,null,null,null,null,null,null,2032374,2042676,null,null,null,null
Admin,2021-03-04,LTC,40844,11593,28839,7406440,4724416,2626151,13402,42208,28324,null,null,28839,4724416,2626157,28324
Admin,2021-03-05,US,3102557,1965664,1112749,97694620,62890215,33382409,1391486,2270249,852541,null,null,1235855,62890215,33569016,878762
Report,2021-03-05,US,null,null,null,null,null,null,null,null,null,2435246,2079147,null,null,null,null
Admin,2021-03-05,LTC,39841,12748,26603,7446281,4737164,2652754,12019,37851,25433,null,null,26610,4737164,2652767,25434
Admin,2021-03-06,US,1985596,1320332,651779,99680216,64210547,34034188,1419848,2279227,834714,null,null,825199,64210547,34394215,885670
Report,2021-03-06,US,null,null,null,null,null,null,null,null,null,2904229,2158020,null,null,null,null
Admin,2021-03-06,LTC,16639,5105,11347,7462920,4742269,2664101,10867,34153,22933,null,null,11406,4742269,2664173,22943
Admin,2021-03-07,US,883277,656036,222299,100563493,64866583,34256487,1438979,2289901,827471,null,null,323797,64866583,34718012,892917
Report,2021-03-07,US,null,null,null,null,null,null,null,null,null,2439427,2159392,null,null,null,null
Admin,2021-03-07,LTC,10730,3315,7168,7473650,4745584,2671269,10448,32586,21794,null,null,7170,4745584,2671343,21804
Admin,2021-03-08,US,2063607,1438657,610623,102627100,66305240,34867110,1487843,2320982,812116,null,null,805159,66305240,35523171,905188
Report,2021-03-08,US,null,null,null,null,null,null,null,null,null,1738102,2169981,null,null,null,null
Admin,2021-03-08,LTC,24161,7520,16367,7497811,4753104,2687636,9693,30639,20619,null,null,16369,4753104,2687712,20629
Admin,2021-03-09,US,2598726,1766409,817651,105225826,68071649,35684761,1537280,2356913,800058,null,null,1024808,68071649,36547979,922613
Report,2021-03-09,US,null,null,null,null,null,null,null,null,null,1602746,2151571,null,null,null,null
Admin,2021-03-09,LTC,27141,9336,17606,7524952,4762440,2705242,8929,28676,19445,null,null,17607,4762440,2705319,19455
Admin,2021-03-10,US,3030941,2033329,976920,108256767,70104978,36661681,1584789,2391216,788491,null,null,1217169,70104978,37765148,943903
Report,2021-03-10,US,null,null,null,null,null,null,null,null,null,2028692,2168688,null,null,null,null
Admin,2021-03-10,LTC,23748,7662,15868,7548700,4770102,2721110,8183,26157,17685,null,null,15869,4770102,2721188,17695
Admin,2021-03-11,US,3356251,2246815,1079973,111613018,72351793,37741654,1632463,2431565,781713,null,null,1347568,72351793,39112716,968507
Report,2021-03-11,US,null,null,null,null,null,null,null,null,null,2482603,2233006,null,null,null,null
Admin,2021-03-11,LTC,22675,6958,15459,7571375,4777060,2736569,7521,23562,15774,null,null,15465,4777060,2736653,15785
Admin,2021-03-12,US,3325567,2082876,1202132,114938585,74434669,38943786,1649208,2463423,794482,null,null,1461765,74434669,40574481,1000780
Report,2021-03-12,US,null,null,null,null,null,null,null,null,null,2924112,2302844,null,null,null,null
Admin,2021-03-12,LTC,22322,7506,14503,7593697,4784566,2751072,6772,21059,14045,null,null,14515,4784566,2751168,14057
Admin,2021-03-13,US,2125331,1368520,733985,117063916,75803189,39677771,1656092,2483385,806226,null,null,977203,75803189,41551684,1022495
Report,2021-03-13,US,null,null,null,null,null,null,null,null,null,3234490,2350025,null,null,null,null
Admin,2021-03-13,LTC,10309,2660,7546,7604006,4787226,2758618,6422,20155,13502,null,null,7548,4787226,2758716,13506
Admin,2021-03-14,US,940342,633443,293843,118004258,76436632,39971614,1652864,2491537,816447,null,null,404296,76436632,41955980,1033995
Report,2021-03-14,US,null,null,null,null,null,null,null,null,null,2697779,2386932,null,null,null,null
Admin,2021-03-14,LTC,7952,1758,6079,7611958,4788984,2764697,6200,19758,13347,null,null,6082,4788984,2764798,13350
Admin,2021-03-15,US,2170798,1450076,695165,120175056,77886708,40666779,1654495,2506850,828524,null,null,825736,77886708,42781716,1036935
Report,2021-03-15,US,null,null,null,null,null,null,null,null,null,2021586,2427430,null,null,null,null
Admin,2021-03-15,LTC,15071,4391,10036,7627029,4793375,2774733,5753,18459,12442,null,null,10045,4793375,2774843,12447
Admin,2021-03-16,US,2776228,1892136,864903,122951284,79778844,41531682,1672456,2532208,835274,null,null,997306,79778844,43779022,1033006
Report,2021-03-16,US,null,null,null,null,null,null,null,null,null,1655996,2435037,null,null,null,null
Admin,2021-03-16,LTC,14413,4895,9335,7641442,4798270,2784068,5119,16641,11261,null,null,9338,4798270,2784181,11266
Admin,2021-03-17,US,3059264,2094983,944624,126010548,81873827,42476306,1681264,2536254,830661,null,null,1075908,81873827,44854930,1012826
Report,2021-03-17,US,null,null,null,null,null,null,null,null,null,2299771,2473762,null,null,null,null
Admin,2021-03-17,LTC,15031,4980,9933,7656473,4803250,2794001,4735,15396,10413,null,null,9935,4803250,2794116,10418
Admin,2021-03-18,US,3281135,2252014,1008887,129291683,84125841,43485193,1682007,2525523,820506,null,null,1148993,84125841,46003923,984458
Report,2021-03-18,US,null,null,null,null,null,null,null,null,null,2692381,2503731,null,null,null,null
Admin,2021-03-18,LTC,14990,4866,9970,7671463,4808116,2803971,4437,14298,9629,null,null,9987,4808116,2804103,9635
Admin,2021-03-19,US,3206788,2177016,1008402,132498471,86302857,44493595,1695455,2508555,792830,null,null,1159883,86302857,47163806,941332
Report,2021-03-19,US,null,null,null,null,null,null,null,null,null,2583810,2455116,null,null,null,null
Admin,2021-03-19,LTC,13921,4441,9292,7685384,4812557,2813263,3999,13098,8884,null,null,9319,4812557,2813422,8893
Admin,2021-03-20,US,2072476,1377243,683107,134570947,87680100,45176702,1696702,2501004,785562,null,null,820053,87680100,47983859,918882
Report,2021-03-20,US,null,null,null,null,null,null,null,null,null,3127679,2439857,null,null,null,null
Admin,2021-03-20,LTC,6760,1615,5051,7692144,4814172,2818314,3849,12591,8528,null,null,5054,4814172,2818476,8537
Admin,2021-03-21,US,968965,665521,296939,135539912,88345621,45473641,1701284,2505093,786004,null,null,346276,88345621,48330135,910593
Report,2021-03-21,US,null,null,null,null,null,null,null,null,null,3039915,2488734,null,null,null,null
Admin,2021-03-21,LTC,3435,999,2383,7695579,4815171,2820697,3741,11945,8000,null,null,2384,4815171,2820860,8008
Admin,2021-03-22,US,2252599,1565625,673039,137792511,89911246,46146680,1717791,2516779,782843,null,null,757451,89911246,49087586,900838
Report,2021-03-22,US,null,null,null,null,null,null,null,null,null,2028324,2489697,null,null,null,null
Admin,2021-03-22,LTC,8069,2763,5088,7703648,4817934,2825785,3508,10945,7293,null,null,5099,4817934,2825959,7302
Admin,2021-03-23,US,2946481,1951778,976092,140738992,91863024,47122772,1726311,2541101,798727,null,null,1082954,91863024,50170540,913074
Report,2021-03-23,US,null,null,null,null,null,null,null,null,null,1707293,2497025,null,null,null,null
Admin,2021-03-23,LTC,7167,2848,4283,7710815,4820782,2830068,3216,9910,6571,null,null,4364,4820782,2830323,6591
Admin,2021-03-24,US,3428806,2175994,1230293,144167798,94039018,48353065,1737884,2593892,839537,null,null,1345974,94039018,51516514,951654
Report,2021-03-24,US,null,null,null,null,null,null,null,null,null,2256824,2490889,null,null,null,null
Admin,2021-03-24,LTC,7292,2986,4246,7718107,4823768,2834314,2931,8804,5759,null,null,4660,4823768,2834983,5838
Admin,2021-03-25,US,3698696,2237970,1434704,147866494,96276988,49787769,1735878,2653544,900368,null,null,1560029,96276988,53076543,1010374
Report,2021-03-25,US,null,null,null,null,null,null,null,null,null,2831442,2510755,null,null,null,null
Admin,2021-03-25,LTC,7674,3110,4468,7725781,4826878,2838782,2680,7759,4973,null,null,4737,4826878,2839720,5088
Admin,2021-03-26,US,3683874,2076982,1582757,151550368,98353970,51370526,1721588,2721699,982419,null,null,1707196,98353970,54783739,1088561
Report,2021-03-26,US,null,null,null,null,null,null,null,null,null,3379393,2624410,null,null,null,null
Admin,2021-03-26,LTC,6835,3111,3607,7732616,4829989,2842389,2490,6747,4161,null,null,3806,4829989,2843526,4300
Admin,2021-03-27,US,2392929,1352621,1023894,153943297,99706591,52394420,1718070,2767478,1031103,null,null,1112928,99706591,55896667,1130401
Report,2021-03-27,US,null,null,null,null,null,null,null,null,null,3496047,2677034,null,null,null,null
Admin,2021-03-27,LTC,1607,395,1197,7734223,4830384,2843586,2316,6011,3610,null,null,1212,4830384,2844738,3751
Admin,2021-03-28,US,1159614,660941,487532,155102911,100367532,52881952,1717416,2794714,1058330,null,null,517341,100367532,56414008,1154839
Report,2021-03-28,US,null,null,null,null,null,null,null,null,null,3281956,2711611,null,null,null,null
Admin,2021-03-28,LTC,1072,286,773,7735295,4830670,2844359,2214,5673,3380,null,null,773,4830670,2845511,3521
Admin,2021-03-29,US,2695166,1573335,1102716,157798077,101940867,53984668,1718517,2857938,1119713,null,null,1186583,101940867,57600591,1216143
Report,2021-03-29,US,null,null,null,null,null,null,null,null,null,2350144,2757586,null,null,null,null
Admin,2021-03-29,LTC,4209,1958,2172,7739504,4832628,2846531,2099,5122,2964,null,null,2289,4832628,2847800,3120
Admin,2021-03-30,US,3416448,1976805,1419772,161214525,103917672,55404440,1722093,2925076,1183095,null,null,1542662,103917672,59143253,1281816
Report,2021-03-30,US,null,null,null,null,null,null,null,null,null,1789510,2769331,null,null,null,null
Admin,2021-03-30,LTC,4208,2061,2120,7743712,4834689,2848651,1987,4699,2655,null,null,2576,4834689,2850376,2864
Admin,2021-03-31,US,4001408,2367407,1609986,165215933,106285079,57014426,1749437,3006876,1237337,null,null,1829227,106285079,60972480,1350852
Report,2021-03-31,US,null,null,null,null,null,null,null,null,null,2670947,2828491,null,null,null,null
Admin,2021-03-31,LTC,4102,2309,1723,7747814,4836998,2850374,1890,4243,2294,null,null,2331,4836998,2852707,2532
Admin,2021-04-01,US,4299834,2458786,1809844,169515767,108743865,58824270,1780982,3092753,1290929,null,null,2089727,108743865,63062207,1426523
Report,2021-04-01,US,null,null,null,null,null,null,null,null,null,3358112,2903730,null,null,null,null
Admin,2021-04-01,LTC,4607,2362,1349,7752421,4839360,2851723,1783,3805,1849,null,null,1862,4839360,2854569,2121
Admin,2021-04-02,US,3512930,2024093,1460324,173028697,110767958,60284594,1773427,3068332,1273438,null,null,1713016,110767958,64775223,1427354
Report,2021-04-02,US,null,null,null,null,null,null,null,null,null,3975059,2988825,null,null,null,null
Admin,2021-04-02,LTC,4990,1347,1374,7757411,4840707,2853097,1531,3542,1530,null,null,1714,4840707,2856283,1822
Admin,2021-04-03,US,2217571,1301048,900192,175246268,112069006,61184786,1766059,3043281,1255767,null,null,1094172,112069006,65869395,1424675
Report,2021-04-03,US,null,null,null,null,null,null,null,null,null,4081959,3072527,null,null,null,null
Admin,2021-04-03,LTC,1283,293,419,7758694,4841000,2853516,1517,3495,1419,null,null,419,4841000,2856702,1709
Admin,2021-04-04,US,719653,423003,289886,175965921,112492009,61474672,1732068,2980430,1227531,null,null,344279,112492009,66213674,1399952
Report,2021-04-04,US,null,null,null,null,null,null,null,null,null,3365324,3084436,null,null,null,null
Admin,2021-04-04,LTC,195,86,93,7758889,4841086,2853609,1488,3370,1321,null,null,94,4841086,2856796,1612
Admin,2021-04-05,US,2955836,1698437,1239264,178921757,114190446,62713936,1749940,3017668,1247038,null,null,1498613,114190446,67712287,1444528
Report,2021-04-05,US,null,null,null,null,null,null,null,null,null,2134049,3053566,null,null,null,null
Admin,2021-04-05,LTC,2724,1807,895,7761613,4842893,2854504,1466,3158,1139,null,null,1135,4842893,2857931,1447
Admin,2021-04-06,US,3782367,2223233,1537934,182704124,116413679,64251870,1785144,3069942,1263919,null,null,1954944,116413679,69667231,1503425
Report,2021-04-06,US,null,null,null,null,null,null,null,null,null,1404280,2998533,null,null,null,null
Admin,2021-04-06,LTC,3661,2275,1376,7765274,4845168,2855880,1497,3080,1033,null,null,2168,4845168,2860099,1389
Admin,2021-04-07,US,4077886,2445416,1611494,186782010,118859095,65863364,1796288,3080868,1264134,null,null,2141472,118859095,71808703,1548031
Report,2021-04-07,US,null,null,null,null,null,null,null,null,null,2884580,3029052,null,null,null,null
Admin,2021-04-07,LTC,3879,2686,1170,7769153,4847854,2857050,1551,3048,954,null,null,1869,4847854,2861968,1323
Admin,2021-04-08,US,4093362,2389783,1681145,190875372,121248878,67544509,1786430,3051372,1245748,null,null,2257247,121248878,74065950,1571963
Report,2021-04-08,US,null,null,null,null,null,null,null,null,null,3403061,3035473,null,null,null,null
Admin,2021-04-08,LTC,3434,2227,1189,7772587,4850081,2858239,1532,2880,931,null,null,2023,4850081,2863991,1346
Admin,2021-04-09,US,4140546,2387554,1724950,195015918,123636432,69269459,1838353,3141031,1283552,null,null,2311518,123636432,76377468,1657463
Report,2021-04-09,US,null,null,null,null,null,null,null,null,null,3958065,3033045,null,null,null,null
Admin,2021-04-09,LTC,3340,2268,1053,7775927,4852349,2859292,1663,2645,885,null,null,1869,4852349,2865860,1368
Admin,2021-04-10,US,2769048,1686151,1067436,197784966,125322583,70336895,1893368,3219814,1307444,null,null,1575288,125322583,77952756,1726194
Report,2021-04-10,US,null,null,null,null,null,null,null,null,null,4629928,3111327,null,null,null,null
Admin,2021-04-10,LTC,309,116,190,7776236,4852465,2859482,1638,2506,852,null,null,191,4852465,2866051,1335
Admin,2021-04-11,US,1346947,822539,517570,199131913,126145122,70854465,1950445,3309427,1339970,null,null,760462,126145122,78713218,1785649
Report,2021-04-11,US,null,null,null,null,null,null,null,null,null,3579422,3141912,null,null,null,null
Admin,2021-04-11,LTC,411,80,329,7776647,4852545,2859811,1637,2536,886,null,null,340,4852545,2866391,1370
Admin,2021-04-12,US,2879094,1607033,1256137,202011007,127752155,72110602,1937387,3298464,1342381,null,null,1622064,127752155,80335282,1803285
Report,2021-04-12,US,null,null,null,null,null,null,null,null,null,2644914,3214893,null,null,null,null
Admin,2021-04-12,LTC,2352,1606,728,7778999,4854151,2860539,1608,2483,862,null,null,1194,4854151,2867585,1379
Admin,2021-04-13,US,3342012,1720956,1602987,205353019,129473111,73713589,1865633,3235556,1351674,null,null,1626150,129473111,81961432,1756314
Report,2021-04-13,US,null,null,null,null,null,null,null,null,null,2590736,3384387,null,null,null,null
Admin,2021-04-13,LTC,2369,1490,862,7781368,4855641,2861401,1496,2299,789,null,null,862,4855641,2868447,1192
Admin,2021-04-14,US,3549462,1716130,1815222,208902481,131189241,75528811,1761449,3160067,1380778,null,null,1818505,131189241,83779937,1710176
Report,2021-04-14,US,null,null,null,null,null,null,null,null,null,2509055,3330740,null,null,null,null
Admin,2021-04-14,LTC,1749,1184,560,7783117,4856825,2861961,1282,1994,702,null,null,560,4856825,2869007,1005
Admin,2021-04-15,US,3579577,1728074,1832524,212482058,132917315,77361335,1666920,3086669,1402404,null,null,1834984,132917315,85614921,1649853
Report,2021-04-15,US,null,null,null,null,null,null,null,null,null,3525204,3348189,null,null,null,null
Admin,2021-04-15,LTC,2914,1860,1052,7786031,4858685,2863013,1229,1920,682,null,null,1052,4858685,2870059,866
Admin,2021-04-16,US,3463579,1623551,1820699,215945637,134540866,79182034,1557776,2989959,1416082,null,null,1822470,134540866,87437391,1579989
Report,2021-04-16,US,null,null,null,null,null,null,null,null,null,3965883,3349306,null,null,null,null
Admin,2021-04-16,LTC,2084,1182,884,7788115,4859867,2863897,1074,1741,658,null,null,885,4859867,2870944,726
Admin,2021-04-17,US,2267380,1147030,1111501,218213017,135687896,80293535,1480759,2918293,1422377,null,null,1112015,135687896,88549406,1513807
Report,2021-04-17,US,null,null,null,null,null,null,null,null,null,3588990,3200601,null,null,null,null
Admin,2021-04-17,LTC,140,69,70,7788255,4859936,2863967,1067,1717,641,null,null,70,4859936,2871014,709
Admin,2021-04-18,US,1037100,512416,520833,219250117,136200312,80814368,1436456,2874029,1422843,null,null,521130,136200312,89070536,1479616
Report,2021-04-18,US,null,null,null,null,null,null,null,null,null,3534901,3194240,null,null,null,null
Admin,2021-04-18,LTC,93,38,55,7788348,4859974,2864022,1061,1671,602,null,null,55,4859974,2871069,668
Admin,2021-04-19,US,2436306,1065272,1358346,221686423,137265584,82172714,1359061,2810773,1437445,null,null,1359774,137265584,90430310,1442146
Report,2021-04-19,US,null,null,null,null,null,null,null,null,null,2174495,3127038,null,null,null,null
Admin,2021-04-19,LTC,1618,1148,468,7789966,4861122,2864490,996,1566,564,null,null,468,4861122,2871537,564
Admin,2021-04-20,US,3044426,1337290,1692525,224730849,138602874,83865239,1304252,2768261,1450236,null,null,1693259,138602874,92123569,1451733
Report,2021-04-20,US,null,null,null,null,null,null,null,null,null,1806929,3015065,null,null,null,null
Admin,2021-04-20,LTC,2244,1878,365,7792210,4863000,2864855,1051,1548,493,null,null,365,4863000,2871902,493
Admin,2021-04-21,US,3203070,1310560,1877799,227933919,139913434,85743038,1246313,2718776,1459175,null,null,1878613,139913434,94002182,1460320
Report,2021-04-21,US,null,null,null,null,null,null,null,null,null,2563671,3022868,null,null,null,null
Admin,2021-04-21,LTC,2349,1580,753,7794559,4864580,2865608,1108,1634,521,null,null,753,4864580,2872655,521
Admin,2021-04-22,US,3277060,1355153,1908379,231210979,141268587,87651417,1193039,2675560,1470012,null,null,1909057,141268587,95911239,1470902
Report,2021-04-22,US,null,null,null,null,null,null,null,null,null,2995734,2947229,null,null,null,null
Admin,2021-04-22,LTC,2313,1635,668,7796872,4866215,2866276,1076,1548,466,null,null,668,4866215,2873323,466
Admin,2021-04-23,US,3073307,1300358,1758960,234284286,142568945,89410377,1146868,2619807,1461192,null,null,1759624,142568945,97670863,1461924
Report,2021-04-23,US,null,null,null,null,null,null,null,null,null,3374587,2862758,null,null,null,null
Admin,2021-04-23,LTC,1218,783,432,7798090,4866998,2866708,1019,1425,402,null,null,432,4866998,2873755,401
Admin,2021-04-24,US,2096510,978729,1109332,236380796,143547674,90519709,1122825,2595397,1460882,null,null,1112957,143547674,98783820,1462059
Report,2021-04-24,US,null,null,null,null,null,null,null,null,null,3318230,2824078,null,null,null,null
Admin,2021-04-24,LTC,93,37,55,7798183,4867035,2866763,1014,1418,399,null,null,55,4867035,2873810,399
Admin,2021-04-25,US,940073,482729,454120,237320869,144030403,90973829,1118584,2581536,1451352,null,null,458525,144030403,99242345,1453115
Report,2021-04-25,US,null,null,null,null,null,null,null,null,null,3020948,2750656,null,null,null,null
Admin,2021-04-25,LTC,71,18,44,7798254,4867053,2866807,1011,1415,398,null,null,45,4867053,2873855,398
Admin,2021-04-26,US,2132999,869820,1253944,239453868,144900223,92227773,1090663,2538206,1436437,null,null,1269237,144900223,100511582,1440181
Report,2021-04-26,US,null,null,null,null,null,null,null,null,null,2107046,2741021,null,null,null,null
Admin,2021-04-26,LTC,1362,983,377,7799616,4868036,2867184,988,1378,385,null,null,387,4868036,2874242,386
Admin,2021-04-27,US,2609508,1039801,1558966,242063376,145940024,93786739,1048164,2476075,1417357,null,null,1603170,145940024,102114752,1427311
Report,2021-04-27,US,null,null,null,null,null,null,null,null,null,1639215,2717062,null,null,null,null
Admin,2021-04-27,LTC,2674,1917,751,7802290,4869953,2867935,993,1440,440,null,null,826,4869953,2875068,452
Admin,2021-04-28,US,2831562,1099192,1720661,244894938,147039216,95507400,1017969,2423002,1394909,null,null,1784258,147039216,103899010,1413832
Report,2021-04-28,US,null,null,null,null,null,null,null,null,null,2231745,2669644,null,null,null,null
Admin,2021-04-28,LTC,2512,1812,697,7804802,4871765,2868632,1026,1463,432,null,null,739,4871765,2875807,450
Admin,2021-04-29,US,2812654,1089205,1711562,247707592,148128421,97218962,979976,2356659,1366792,null,null,1789124,148128421,105688134,1396699
Report,2021-04-29,US,null,null,null,null,null,null,null,null,null,2721079,2630407,null,null,null,null
Admin,2021-04-29,LTC,2432,1793,569,7807234,4873558,2869201,1049,1480,418,null,null,783,4873558,2876590,466
Admin,2021-04-30,US,2677955,1051076,1615561,250385547,149179497,98834523,944365,2300180,1346307,null,null,1699833,149179497,107387967,1388157
Report,2021-04-30,US,null,null,null,null,null,null,null,null,null,2799184,2548207,null,null,null,null
Admin,2021-04-30,LTC,1765,1274,424,7808999,4874832,2869625,1119,1558,417,null,null,521,4874832,2877111,479
Admin,2021-05-01,US,1685602,667028,1011690,252071149,149846525,99846213,899836,2241479,1332358,null,null,1069563,149846525,108457530,1381958
Report,2021-05-01,US,null,null,null,null,null,null,null,null,null,3303794,2546144,null,null,null,null
Admin,2021-05-01,LTC,106,75,29,7809105,4874907,2869654,1125,1560,413,null,null,30,4874907,2877141,475
Admin,2021-05-02,US,825615,320178,502707,252896764,150166703,100348920,876614,2225127,1339299,null,null,539184,150166703,108996714,1393481
Report,2021-05-02,US,null,null,null,null,null,null,null,null,null,2127998,2418580,null,null,null,null
Admin,2021-05-02,LTC,38,26,12,7809143,4874933,2869666,1126,1555,408,null,null,13,4874933,2877154,471
Admin,2021-05-03,US,1829211,622619,1197103,254725975,150789322,101546023,841300,2181729,1331179,null,null,1296945,150789322,110293659,1397439
Report,2021-05-03,US,null,null,null,null,null,null,null,null,null,1188734,2287393,null,null,null,null
Admin,2021-05-03,LTC,1240,834,403,7810383,4875767,2870069,1104,1538,412,null,null,500,4875767,2877654,487
Admin,2021-05-04,US,2304903,798571,1496405,257030878,151587893,103042428,806838,2138214,1322241,null,null,1593402,151587893,111887061,1396044
Report,2021-05-04,US,null,null,null,null,null,null,null,null,null,988846,2194483,null,null,null,null
Admin,2021-05-04,LTC,2065,1462,592,7812448,4877229,2870661,1039,1451,389,null,null,775,4877229,2878429,480
Admin,2021-05-05,US,2320273,789412,1521112,259351151,152377305,104563540,762584,2065173,1293734,null,null,1615985,152377305,113503046,1372005
Report,2021-05-05,US,null,null,null,null,null,null,null,null,null,1797771,2132487,null,null,null,null
Admin,2021-05-05,LTC,2355,1513,834,7814803,4878742,2871495,997,1428,409,null,null,957,4878742,2879386,511
Admin,2021-05-06,US,2309260,764346,1526725,261660411,153141651,106090265,716176,1993259,1267329,null,null,1621174,153141651,115124220,1348012
Report,2021-05-06,US,null,null,null,null,null,null,null,null,null,2406932,2087608,null,null,null,null
Admin,2021-05-06,LTC,3055,2274,711,7817858,4881016,2872206,1065,1517,429,null,null,982,4881016,2880368,539
Admin,2021-05-07,US,2302447,769024,1523166,263962858,153910675,107613431,675883,1939615,1254130,null,null,1618209,153910675,116742429,1336351
Report,2021-05-07,US,null,null,null,null,null,null,null,null,null,2805581,2088522,null,null,null,null
Admin,2021-05-07,LTC,1954,1201,748,7819812,4882217,2872954,1055,1544,476,null,null,991,4882217,2881359,606
Admin,2021-05-08,US,1395882,476322,909619,265358740,154386997,108523050,648639,1898227,1239548,null,null,978342,154386997,117720771,1323320
Report,2021-05-08,US,null,null,null,null,null,null,null,null,null,2567872,1983391,null,null,null,null
Admin,2021-05-08,LTC,69,44,22,7819881,4882261,2872976,1051,1539,475,null,null,22,4882261,2881381,605
Admin,2021-05-09,US,566393,204491,360251,265925133,154591488,108883301,632112,1861195,1219197,null,null,391790,154591488,118112561,1302263
Report,2021-05-09,US,null,null,null,null,null,null,null,null,null,2369784,2017931,null,null,null,null
Admin,2021-05-09,LTC,27,11,16,7819908,4882272,2872992,1048,1537,475,null,null,16,4882272,2881397,606
Admin,2021-05-10,US,1438569,458786,972232,267363702,155050274,109855533,608707,1805389,1187073,null,null,1046542,155050274,119159103,1266492
Report,2021-05-10,US,null,null,null,null,null,null,null,null,null,1882392,2117025,null,null,null,null
Admin,2021-05-10,LTC,1335,756,578,7821243,4883028,2873570,1037,1551,500,null,null,709,4883028,2882106,636
Admin,2021-05-11,US,1800363,605255,1186789,269164065,155655529,111042322,581091,1733312,1142842,null,null,1267925,155655529,120427028,1219995
Report,2021-05-11,US,null,null,null,null,null,null,null,null,null,1533180,2194787,null,null,null,null
Admin,2021-05-11,LTC,2947,1763,1176,7824190,4884791,2874746,1080,1677,584,null,null,1402,4884791,2883508,725
Admin,2021-05-12,US,1765128,597860,1159428,270929193,156253389,112201750,553726,1654006,1091173,null,null,1240380,156253389,121667408,1166337
Report,2021-05-12,US,null,null,null,null,null,null,null,null,null,1548283,2159146,null,null,null,null
Admin,2021-05-12,LTC,1719,1179,536,7825909,4885970,2875282,1033,1586,541,null,null,706,4885970,2884214,689
Admin,2021-05-13,US,1967306,818781,1140418,272896499,157072170,113342168,561503,1605155,1035986,null,null,1213914,157072170,122881322,1108157
Report,2021-05-13,US,null,null,null,null,null,null,null,null,null,1915642,2088962,null,null,null,null
Admin,2021-05-13,LTC,2530,1669,858,7828439,4887639,2876140,946,1511,562,null,null,1225,4887639,2885439,724
Admin,2021-05-14,US,2196096,1011442,1175925,275092595,158083612,114518093,596134,1589962,986380,null,null,1269514,158083612,124150836,1058343
Report,2021-05-14,US,null,null,null,null,null,null,null,null,null,1842180,1951333,null,null,null,null
Admin,2021-05-14,LTC,1794,1257,537,7830233,4888896,2876677,954,1488,532,null,null,663,4888896,2886102,677
Admin,2021-05-15,US,1634667,821948,806976,276727262,158905560,115325069,645509,1624074,971717,null,null,872349,158905560,125023185,1043202
Report,2021-05-15,US,null,null,null,null,null,null,null,null,null,2393676,1926448,null,null,null,null
Admin,2021-05-15,LTC,121,78,42,7830354,4888974,2876719,959,1496,535,null,null,44,4888974,2886146,680
Admin,2021-05-16,US,817305,420734,393104,277544567,159326294,115718173,676401,1659919,976410,null,null,429707,159326294,125452892,1048618
Report,2021-05-16,US,null,null,null,null,null,null,null,null,null,2093069,1886917,null,null,null,null
