Trends in Number of COVID-19 Vaccinations in the US
Date generated: Sun May 23 2021 12:46:33 GMT-0400 (Eastern Daylight Time)
Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People with at least One Dose Cumulative,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Admin,2021-01-01,US,50800,47830,2122,5606358,5446076,27290,389528,401089,2499,null,null,2257,5446076,27809,2528
Report,2021-01-01,US,null,null,null,null,null,null,null,null,null,434528,305532,null,null,null,null
Admin,2021-01-01,LTC,1609,1605,4,311416,305066,477,35726,36180,63,null,null,4,305066,477,62
Admin,2021-01-02,US,250999,243805,2422,5857357,5689881,29712,405010,417225,2788,null,null,2431,5689881,30240,2818
Report,2021-01-02,US,null,null,null,null,null,null,null,null,null,290402,324664,null,null,null,null
Admin,2021-01-02,LTC,46551,45835,38,357967,350901,515,40954,41492,66,null,null,38,350901,515,66
Admin,2021-01-03,US,130268,123880,2191,5987625,5813761,31903,409705,422541,3049,null,null,2193,5813761,32433,3073
Report,2021-01-03,US,null,null,null,null,null,null,null,null,null,185279,342276,null,null,null,null
Admin,2021-01-03,LTC,32562,31876,57,390529,382777,572,44247,44865,73,null,null,57,382777,572,73
Admin,2021-01-04,US,632264,576464,42760,6619889,6390225,74663,411626,430345,8804,null,null,42784,6390225,75217,8830
Report,2021-01-04,US,null,null,null,null,null,null,null,null,null,239472,354169,null,null,null,null
Admin,2021-01-04,LTC,85890,84993,58,476419,467770,630,47918,48576,78,null,null,58,467770,630,78
Admin,2021-01-05,US,798163,701640,83006,7418052,7091865,157669,414075,443383,20118,null,null,83029,7091865,158246,20146
Report,2021-01-05,US,null,null,null,null,null,null,null,null,null,337114,357375,null,null,null,null
Admin,2021-01-05,LTC,96869,96270,103,573288,564040,733,50458,51040,82,null,null,103,564040,733,82
Admin,2021-01-06,US,993126,808374,167239,8411178,7900239,324908,414934,467178,43155,null,null,167277,7900239,325523,43187
Report,2021-01-06,US,null,null,null,null,null,null,null,null,null,600055,380018,null,null,null,null
Admin,2021-01-06,LTC,94899,94010,176,668187,658050,909,52955,53507,72,null,null,176,658050,909,72
Admin,2021-01-07,US,1130012,837499,270762,9541190,8737738,595670,477070,569376,81500,null,null,270777,8737738,596300,81535
Report,2021-01-07,US,null,null,null,null,null,null,null,null,null,730700,402507,null,null,null,null
Admin,2021-01-07,LTC,123197,122016,341,791384,780066,1250,68086,68796,111,null,null,341,780066,1250,111
Admin,2021-01-08,US,1194800,818937,352599,10735990,9556675,948269,587228,732804,131568,null,null,352627,9556675,948927,131588
Report,2021-01-08,US,null,null,null,null,null,null,null,null,null,870465,464784,null,null,null,null
Admin,2021-01-08,LTC,113949,111863,1249,905333,891929,2499,83838,84845,289,null,null,1249,891929,2499,288
Admin,2021-01-09,US,491284,358909,124708,11227274,9915584,1072977,603672,767131,149038,null,null,124713,9915584,1073640,149057
Report,2021-01-09,US,null,null,null,null,null,null,null,null,null,790484,536224,null,null,null,null
Admin,2021-01-09,LTC,50581,49665,337,955914,941594,2836,84385,85421,332,null,null,337,941594,2836,331
Admin,2021-01-10,US,239592,168364,67544,11466866,10083948,1140521,610027,782748,158374,null,null,67555,10083948,1141195,158394
Report,2021-01-10,US,null,null,null,null,null,null,null,null,null,727095,613626,null,null,null,null
Admin,2021-01-10,LTC,35532,35039,283,991446,976633,3119,84837,85845,364,null,null,283,976633,3119,363
Admin,2021-01-11,US,1033572,698823,315030,12500438,10782771,1455551,627507,840078,197270,null,null,315055,10782771,1456250,197290
Report,2021-01-11,US,null,null,null,null,null,null,null,null,null,419440,639336,null,null,null,null
Admin,2021-01-11,LTC,143417,131138,11375,1134863,1107771,14494,91429,94063,1981,null,null,11375,1107771,14494,1980
Admin,2021-01-12,US,1212946,884071,307144,13713384,11666842,1762695,653568,899333,229289,null,null,307173,11666842,1763423,229311
Report,2021-01-12,US,null,null,null,null,null,null,null,null,null,516858,665014,null,null,null,null
Admin,2021-01-12,LTC,156457,142112,13411,1291320,1249883,27905,97978,102576,3882,null,null,13411,1249883,27905,3881
Admin,2021-01-13,US,1285144,1000500,264644,14998528,12667342,2027339,681015,941050,243204,null,null,264666,12667342,2028089,243223
Report,2021-01-13,US,null,null,null,null,null,null,null,null,null,987485,720361,null,null,null,null
Admin,2021-01-13,LTC,159910,143241,15805,1451230,1393124,43710,105011,111863,6114,null,null,15805,1393124,43710,6114
Admin,2021-01-14,US,1276007,1127937,130186,16274535,13795279,2157525,722506,961906,223122,null,null,130207,13795279,2158296,223142
Report,2021-01-14,US,null,null,null,null,null,null,null,null,null,1093867,772242,null,null,null,null
Admin,2021-01-14,LTC,141349,137735,2993,1592579,1530859,46703,107256,114456,6493,null,null,2993,1530859,46703,6493
Admin,2021-01-15,US,1221221,1091829,115068,17495756,14887108,2272593,761490,965680,189189,null,null,115105,14887108,2273401,189210
Report,2021-01-15,US,null,null,null,null,null,null,null,null,null,956233,784495,null,null,null,null
Admin,2021-01-15,LTC,112915,110407,1463,1705494,1641266,48166,107048,114308,6524,null,null,1463,1641266,48166,6523
Admin,2021-01-16,US,634014,558078,68763,18129770,15445186,2341356,789943,986070,181197,null,null,68776,15445186,2342177,181219
Report,2021-01-16,US,null,null,null,null,null,null,null,null,null,1141043,834574,null,null,null,null
Admin,2021-01-16,LTC,64401,56659,7070,1769895,1697925,55236,108047,116283,7486,null,null,7070,1697925,55236,7485
